                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.76466,                 0.4227,                0.84052,                 0.8923,                  0.887,                 0.9107,                0.71007,                0.88194,                0.58857,                 0.8893,             0.00080401,             0.00080401,             0.00080401
                     38,                0.78423,                 0.4298,                0.83576,                0.90552,                0.84776,                0.90155,                0.69309,                0.92283,                 0.6187,                0.89623,             0.00080101,             0.00080101,             0.00080101
                     39,                0.78906,                0.43116,                0.84082,                0.87286,                0.88368,                0.89947,                0.67347,                0.93764,                0.63892,                0.89728,             0.00079801,             0.00079801,             0.00079801
                     40,                0.76183,                0.41764,                0.83462,                0.91768,                0.87459,                0.90501,                0.69733,                 0.9318,                0.63637,                 0.8984,             0.00079501,             0.00079501,             0.00079501
                     41,                0.75742,                0.41235,                0.83793,                0.92286,                0.86943,                0.90822,                0.69435,                0.93433,                0.60531,                0.90105,             0.00079201,             0.00079201,             0.00079201
                     42,                0.75237,                 0.4032,                0.84006,                0.90189,                0.88228,                0.91105,                0.71217,                0.87296,                0.60479,                0.88793,             0.00078901,             0.00078901,             0.00078901
                     43,                0.77508,                0.41245,                0.84038,                0.88314,                0.88507,                0.91165,                0.73157,                0.79365,                 0.5908,                0.87501,             0.00078601,             0.00078601,             0.00078601
                     44,                0.74911,                0.40803,                0.83705,                0.91994,                0.85591,                0.91382,                0.70146,                0.94981,                 0.6351,                0.90515,             0.00078301,             0.00078301,             0.00078301
                     45,                0.74722,                0.40623,                 0.8391,                0.88269,                0.88562,                0.90374,                0.66867,                0.95943,                0.63649,                0.90581,             0.00078001,             0.00078001,             0.00078001
                     46,                0.75694,                0.40111,                0.83663,                   0.87,                0.88644,                0.90319,                0.68679,                0.90711,                 0.6179,                 0.8922,             0.00077701,             0.00077701,             0.00077701
                     47,                0.75197,                0.39511,                0.83622,                0.86567,                0.88419,                0.90668,                0.71155,                0.84094,                0.60085,                 0.8831,             0.00077401,             0.00077401,             0.00077401
                     48,                0.74913,                0.40211,                0.83936,                0.87147,                0.85755,                0.89117,                0.68707,                0.85565,                0.62461,                0.88746,             0.00077101,             0.00077101,             0.00077101
                     49,                0.73344,                0.41084,                0.83048,                0.88956,                0.84058,                0.89791,                0.70733,                0.86835,                0.65679,                0.88909,             0.00076801,             0.00076801,             0.00076801
                     50,                0.74391,                0.41755,                0.83135,                0.87844,                0.87986,                0.91281,                 0.7023,                0.88859,                0.62865,                0.89086,             0.00076501,             0.00076501,             0.00076501
                     51,                0.71428,                0.39214,                0.82767,                0.90321,                0.88181,                0.91307,                0.70321,                 0.8777,                0.62315,                0.88904,             0.00076201,             0.00076201,             0.00076201
                     52,                 0.7121,                0.38867,                0.82632,                0.90373,                0.88537,                0.91081,                0.70254,                0.91537,                0.63699,                0.89044,             0.00075902,             0.00075902,             0.00075902
                     53,                0.71268,                0.38414,                0.82823,                0.90937,                0.87199,                0.91383,                0.70683,                0.89847,                0.62264,                0.89848,             0.00075602,             0.00075602,             0.00075602
                     54,                0.74254,                0.40304,                0.83621,                0.91609,                0.85324,                 0.9021,                0.69075,                0.93929,                0.62022,                0.89435,             0.00075302,             0.00075302,             0.00075302
                     55,                0.72364,                0.39903,                0.82863,                0.88401,                0.86351,                0.90314,                0.67316,                0.94813,                0.63478,                0.90103,             0.00075002,             0.00075002,             0.00075002
                     56,                0.70702,                0.39152,                0.82927,                0.88952,                0.89137,                0.91773,                0.70507,                0.87688,                0.58214,                0.88767,             0.00074702,             0.00074702,             0.00074702
                     57,                0.71698,                 0.3902,                0.83502,                0.87173,                0.86095,                0.89713,                0.69215,                0.87613,                0.62305,                0.88974,             0.00074402,             0.00074402,             0.00074402
                     58,                0.72116,                0.38902,                0.82955,                0.88729,                0.85769,                0.89847,                0.69207,                0.88579,                0.64116,                 0.8934,             0.00074102,             0.00074102,             0.00074102
                     59,                0.69763,                 0.3828,                0.82958,                0.88283,                0.88401,                 0.9098,                 0.7047,                0.89492,                0.62704,                0.89358,             0.00073802,             0.00073802,             0.00073802
                     60,                0.69752,                0.37811,                0.82963,                0.87829,                0.87832,                0.90715,                 0.7126,                0.82818,                0.59196,                0.88625,             0.00073502,             0.00073502,             0.00073502
                     61,                0.69199,                0.37167,                0.82738,                0.90985,                0.86745,                0.90597,                0.69537,                 0.9081,                0.59718,                0.89733,             0.00073202,             0.00073202,             0.00073202
                     62,                0.70949,                 0.3793,                0.82749,                0.90122,                0.84995,                0.90701,                0.65283,                 1.0196,                0.64206,                0.91688,             0.00072902,             0.00072902,             0.00072902
                     63,                0.71233,                0.37592,                0.82636,                0.90833,                0.86316,                 0.9082,                0.67766,                0.96681,                0.63882,                0.89761,             0.00072602,             0.00072602,             0.00072602
                     64,                0.68562,                 0.3708,                 0.8287,                0.89536,                0.84103,                0.90044,                0.68746,                0.92392,                0.63915,                0.89152,             0.00072302,             0.00072302,             0.00072302
                     65,                0.69379,                0.37166,                0.82601,                 0.9017,                0.86386,                0.89938,                0.69291,                0.92816,                0.62647,                0.89453,             0.00072002,             0.00072002,             0.00072002
                     66,                0.70367,                0.37621,                0.82917,                0.88207,                0.87111,                0.91159,                0.69491,                0.94477,                0.64257,                0.88751,             0.00071702,             0.00071702,             0.00071702
                     67,                0.69264,                0.37385,                0.82706,                0.91759,                0.85071,                0.91333,                0.71625,                0.85584,                0.58614,                0.88085,             0.00071402,             0.00071402,             0.00071402
                     68,                0.73394,                0.38728,                0.82779,                0.89602,                0.88898,                 0.9042,                0.72231,                0.81651,                0.57869,                0.87263,             0.00071102,             0.00071102,             0.00071102
                     69,                0.69706,                0.37629,                0.82964,                0.89072,                0.88444,                0.91283,                0.73379,                0.79177,                0.61494,                0.87082,             0.00070802,             0.00070802,             0.00070802
                     70,                0.69396,                0.36813,                0.82208,                0.91433,                0.87661,                  0.927,                0.75208,                0.77824,                0.54323,                0.86549,             0.00070502,             0.00070502,             0.00070502
                     71,                0.69298,                0.36165,                 0.8255,                0.91629,                0.86032,                0.90892,                0.71143,                0.85901,                0.58474,                0.87809,             0.00070202,             0.00070202,             0.00070202
                     72,                0.67427,                0.36116,                0.82645,                0.90768,                0.87786,                0.91572,                0.72889,                0.81043,                0.59274,                0.87672,             0.00069902,             0.00069902,             0.00069902
                     73,                  0.668,                0.35354,                0.82351,                  0.905,                0.89664,                0.91702,                0.71278,                0.87676,                0.58761,                0.88647,             0.00069602,             0.00069602,             0.00069602
                     74,                0.67882,                0.35739,                0.81873,                0.89892,                0.89745,                0.92681,                0.74489,                0.82896,                0.57183,                0.87743,             0.00069302,             0.00069302,             0.00069302
                     75,                0.66939,                0.35661,                0.82104,                0.90885,                0.89144,                0.92282,                0.71568,                0.86745,                0.59295,                0.88299,             0.00069002,             0.00069002,             0.00069002
                     76,                0.68863,                0.36654,                0.82089,                0.90561,                0.89375,                0.91086,                0.72092,                0.86437,                0.57089,                0.88087,             0.00068702,             0.00068702,             0.00068702
                     77,                0.67947,                0.35638,                 0.8246,                0.89868,                0.89876,                 0.9127,                0.69946,                0.91381,                0.58477,                0.89269,             0.00068402,             0.00068402,             0.00068402
                     78,                0.65238,                0.34806,                0.81832,                0.91452,                0.85052,                0.90296,                 0.6876,                0.91854,                0.59156,                0.89521,             0.00068102,             0.00068102,             0.00068102
                     79,                0.65579,                 0.3505,                0.82016,                 0.9088,                0.88166,                0.91062,                0.71077,                0.85356,                0.57558,                0.88451,             0.00067802,             0.00067802,             0.00067802
                     80,                0.66286,                0.35201,                0.81887,                0.90253,                0.88133,                0.91646,                0.69565,                0.96008,                0.60058,                  0.904,             0.00067502,             0.00067502,             0.00067502
                     81,                0.65575,                0.35138,                0.82213,                0.90205,                0.88562,                0.91647,                0.71448,                0.87693,                0.60229,                0.89172,             0.00067202,             0.00067202,             0.00067202
                     82,                0.68073,                 0.3696,                 0.8228,                0.89849,                0.87933,                0.91523,                0.71183,                0.87651,                0.60393,                0.88912,             0.00066902,             0.00066902,             0.00066902
                     83,                0.66542,                0.35796,                0.82076,                0.91131,                0.88671,                0.92352,                0.71491,                 0.8732,                0.58972,                0.88114,             0.00066602,             0.00066602,             0.00066602
                     84,                0.67038,                0.36204,                0.82272,                0.91018,                0.88263,                0.91092,                0.72954,                0.81087,                0.56108,                0.87218,             0.00066302,             0.00066302,             0.00066302
                     85,                0.66853,                 0.3553,                0.81771,                0.89451,                0.87708,                0.91412,                0.68999,                0.96923,                0.60052,                0.89153,             0.00066002,             0.00066002,             0.00066002
                     86,                0.65965,                0.34657,                0.81942,                0.88801,                0.89263,                0.91826,                0.71065,                0.92574,                0.59596,                0.89394,             0.00065703,             0.00065703,             0.00065703
                     87,                 0.6448,                0.34105,                0.82136,                0.91675,                0.87188,                0.91139,                0.67666,                 1.0257,                0.62295,                 0.9108,             0.00065403,             0.00065403,             0.00065403
                     88,                0.64809,                 0.3406,                0.81594,                0.90439,                0.88669,                0.90767,                0.67653,                 1.0206,                0.62753,                0.90591,             0.00065103,             0.00065103,             0.00065103
                     89,                0.67228,                0.34788,                0.82263,                0.90035,                0.89105,                0.91106,                0.72746,                0.81458,                0.54792,                0.87482,             0.00064803,             0.00064803,             0.00064803
                     90,                0.62408,                0.34042,                0.81754,                0.90486,                0.89636,                0.92589,                0.72841,                0.86925,                0.58023,                0.87967,             0.00064503,             0.00064503,             0.00064503
                     91,                0.63884,                0.34088,                0.82287,                0.90769,                0.89826,                0.92748,                0.72113,                0.87659,                  0.574,                0.88679,             0.00064203,             0.00064203,             0.00064203
                     92,                0.65254,                0.35021,                0.81633,                0.87919,                0.90722,                0.91575,                0.70057,                0.95928,                0.59544,                0.89393,             0.00063903,             0.00063903,             0.00063903
                     93,                0.63441,                0.34053,                0.81708,                0.90704,                0.86375,                0.91113,                0.68654,                0.95635,                 0.6108,                0.89632,             0.00063603,             0.00063603,             0.00063603
